Film;U.S. release date;Box office gross Domestic (U.S. and Canada );Box office gross Other territories;Box office gross Worldwide;Budget;MCU;Distributor;Minutes;Franchise;Character Family;Rotten Tomatoes Critic Score;Male/Female-led;Year;Inflation Adjusted Worldwide Gross;Inflation Adjusted Budget;Break Even
Black Panther: Wakanda Forever;11/11/2022;453829060;405379776;859208836;250000000;VRAI;Walt Disney Studios Motion Pictures;161;Marvel;Black Panther;83;Female;2022;859208836;250000000;Success
Ant-Man and the Wasp: Quantumania;17/02/2023;214504909;261566271;476071180;200000000;VRAI;Walt Disney Studios Motion Pictures;124;Marvel;Ant-Man;46;Co-starring;2023;476071180;200000000;Flop
Shazam! Fury of the Gods;17/03/2023;57638006;76200000;133838006;125000000;FAUX;Warner Bros.;130;DC;Shazam;49;Male;2023;133838006;125000000;Flop
Guardians of the Galaxy Vol. 3;05/05/2023;358995815;486559962;845555777;250000000;VRAI;Walt Disney Studios Motion Pictures;150;Marvel;Guardians of the Galaxy;82;Male;2023;845555777;250000000;Success
Spider-Man: Across the Spider-Verse;02/06/2023;381311319;309205354;690516673;100000000;FAUX;Columbia Pictures;140;Marvel;Spider-Man;96;Male;2023;690516673;100000000;Success
The Flash;16/06/2023;108133313;162500000;270633313;200000000;FAUX;Warner Bros.;144;DC;Flash;63;Male;2023;270633313;200000000;Flop
Blue Beetle;18/08/2023;72488072;56800000;129288072;120000000;FAUX;Warner Bros.;127;DC;Blue Beetle;78;Male;2023;129288072;120000000;Flop
The Marvels;10/11/2023;84500223;121373601;205873824;219800000;VRAI;Walt Disney Studios Motion Pictures;105;Marvel;Captain Marvel;62;Female;2023;205873824;219800000;Flop
Aquaman and the Lost Kingdom;20/12/2023;124436589;309900000;434336589;205000000;FAUX;Warner Bros.;124;DC;Aquaman;35;Male;2023;434336589;205000000;Flop
Madame Web;14/02/2024;42619699;54000000;96619699;80000000;FAUX;Columbia Pictures;116;Marvel;Spider-Man Allies and Villains;13;Female;2024;96619699;80000000;Flop
